Центральный федеральный округ,Среднедушевые доходы населения,Потребительские расходы на душу населения,Демографическая нагрузка,Смертность населения,Младенческая смертность
Белогородская область,32352,26072,788,13.3,2.9
Брянская область,28371,24470,802,14.7,3.6
Владимирская область,25358,20905,831,15.6,5.1
Воронежская область,32022,27904,792,14.1,4.1
Ивановская область,25794,20617,812,15.8,4.9
Калужская область,31394,25060,806,14.6,3.9
Костромская область,25285,20803,858,14.7,7.3
Курская область,29149,23024,825,15.0,4.3
Липецкая область,32479,26858,826,14.3,2.9
Московская область,47201,37972,724,12.0,4.0
Орловская область,26064,21295,830,15.3,5.2
Рязанская область,26886,21193,840,15.2,4.9
Смоленская область,27388,22028,773,15.1,4.0
Тамбовская область,28154,23179,833,15.0,3.8
Тверская область,27211,21610,843,16.3,4.2
Тульская область,28557,23942,816,15.9,4.8
Ярославская область,28658,23019,829,14.7,3.3
