Приволжский федеральный округ,Среднедушевые доходы населения,Потребительские расходы на душу населения,Демографическая нагрузка,Смертность населения,Младенческая смертность
Республика Башкортостан,30567,26423,792,12.1,6.1
Республика Марий Эл,20864,15981,820,12.0,4.4
Республика Мордовия,19748,15026,745,13.2,4.3
Республика Татарстан,35707,30107,787,11.0,4.9
Удмуртская Республика,25066,19731,822,11.9,4.4
Чувашская Республика,20162,16463,789,12.4,3.0
Пермский край,30588,25366,807,13.2,4.2
Кировская область,23604,19337,892,14.3,3.2
Нижегородская область,33817,27747,803,14.6,5.0
Оренбургская область,24483,19876,819,13.0,4.4
Пензенская область,22969,19483,831,14.0,5.5
Самарская область,29421,25126,790,13.2,4.2
Саратовская область,22757,18514,787,13.7,4.2
Ульяновская область,23698,19209,828,13.8,4.3
